game_title,trophy_title,description,completion_rate,IGDB_genres,IGDB_themes,main_story_length,metacritic_critic,metacritic_user
The Last of Us Part II,What I Had to Do,Complete the story,57.9,"Shooter, Adventure","Action, Horror, Survival, Stealth",24,93,58
Uncharted 2: Among Thieves Remastered,Charted! - Easy,Finish the Game on Easy Without Changing the Difficulty,56.8,"Shooter, Platform, Adventure","Action, Historical",10.5,96,88
Yakuza Kiwami 2,Thank You!,Completed the final chapter.,52.7,"Role-playing (RPG), Adventure",Action,18.5,85,85
Marvel's Spider-Man,End Game,Complete Act 3,49,"Hack and slash/Beat 'em up, Adventure","Drama, Open world, Action, Stealth",17,87,87
God of War,Last Wish,Spread the ashes,46.3,Shooter,Action,20.5,94,91
Tomb Raider,A Survivor Is Born,Complete the game.,46.3,"Shooter, Platform, Puzzle, Adventure","Sandbox, Action, Survival",11.5,86,83
Uncharted: The Lost Legacy,Legacy Found!,Complete the Game,45.5,"Shooter, Puzzle, Adventure","Action, Historical",7,84,79
Detroit: Become Human,THIS IS MY STORY,Finish the game once,45.1,"Puzzle, Adventure","Drama, Mystery, Action, Science fiction, Thriller",12,78,87
Assassin's Creed 2,An Old Friend Returns,Escape the hideout.,44.4,"Platform, Adventure","Sandbox, Open world, Action, Fantasy, Science fiction, Historical, Stealth",19,90,88
Naruto Shippuden: Ultimate Ninja Storm 4,Bonds Rebound,Cleared the Chapter of New Life,43.9,"Fighting, Adventure",Action,9,79,80
The Order: 1886,A Knight No More,Complete the game (any difficulty),43.2,"Shooter, Adventure","Action, Fantasy, Horror, Historical",7,63,68
Tales of Berseria,Velvet Crowe,Proof of seeing the end of the tale.,41.3,Role-playing (RPG),"Open world, Action, Fantasy",44.5,79,80
Uncharted: Drake's Fortune Remastered,Charted! - Easy,Finish the Game on Easy Without Changing the Difficulty,40.5,"Platform, Puzzle, Adventure","Drama, Action, Historical, Comedy",8,88,77
Ghost of Tsushima,Mono No Aware,Leave the past behind and accept the burden of your new mantle.,39.9,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure","Drama, Open world, Action, Historical, Stealth",25,83,92
The Last of Us Remastered,No Matter What - Easy,Complete the game on Easy,39.3,"Shooter, Adventure","Action, Horror, Survival, Stealth",14.5,95,92
Monster Hunter: World,The Sapphire Star,Solve the mystery of the Elder Crossing.,38.3,"Role-playing (RPG), Adventure","Action, Fantasy",47.5,90,78
Kingdom Hearts III,Another Chapter Closed,Finish the game and view the ending.,37.8,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure","Drama, Kids, Action, Fantasy",29,83,79
Yakuza 6: The Song of Life,Thank You.,Completed all of the main story.,37.5,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure","Drama, Open world, Action",18,83,85
Uncharted 4: A Thief's End,Charted! - Explorer,Complete the game in explorer mode,37.2,"Shooter, Adventure","Action, Fantasy, Historical, Stealth",15,93,88
Knack 2,Novice Hero Knack,Cleared all chapters on the Easy difficulty level or higher.,36.8,"Platform, Adventure","Action, Science fiction",11,69,79
Dying Light,Bittersweet,Complete the game,36.7,"Shooter, Role-playing (RPG), Adventure","Open world, Action, Horror, Survival, Stealth",18,74,80
Rise of the Tomb Raider,The Price of Truth,Finish the game on any difficulty,36.5,"Shooter, Adventure","Action, Horror, Survival, Stealth, Open world",13.5,86,81
Street Fighter V,Your Story Starts Here,"Your first goal for Story Mode is just to clear it once. You can probably guess, but I cleared it with Master Zangief first!",35.7,"Fighting, Arcade",Action,3.5,77,38
inFAMOUS: First Light,She's Ready,Complete the story of inFAMOUS First Light™,35.5,"Shooter, Platform, Adventure","Sandbox, Action, Science fiction",4,73,73
Call of Duty: Modern Warfare 2 Campaign Remastered,For the Record,Complete the single player Campaign on any difficulty.,35.4,Shooter,"Action, Warfare",6,71,76
Injustice: Gods Among Us,Justice for All,Complete 100% of Story Mode,35.2,"Fighting, Arcade",Action,5,81,77
Final Fantasy VII Remake,Destiny's Crossroads,Complete Chapter 18.,34.8,"Role-playing (RPG), Adventure","Action, Fantasy",32.5,87,82
Dragon Quest XI: Echoes of an Elusive Age,The Final Fight,Awarded for fulfilling your destiny at last.,33.8,Role-playing (RPG),"Open world, Fantasy",57,86,84
Final Fantasy XV,Homecoming,Completed Chapter 14.,33.7,"Role-playing (RPG), Hack and slash/Beat 'em up, Adventure","Sandbox, Open world, Action, Fantasy, Science fiction, Survival",28,81,74
LEGO Marvel Super Heroes,"The Good, the Bad and the Hungry","Complete Level 15 - The Good, the Bad and the Hungry",33.2,"Puzzle, Hack and slash/Beat 'em up, Adventure","Kids, Open world, Party, Action, Fantasy, Comedy",12.5,80,81
Titanfall 2,Certified Pilot,Complete the Campaign on Regular ,33.2,"Shooter, Adventure","Action, Science fiction",6,89,85
Shadow of the Tomb Raider,Quite the Adventure,Finish the main storyline,33.1,"Shooter, Adventure","Action, Survival, Historical, Mystery ",12.5,75,73
Resident Evil 7: Biohazard,Playing it Safe,Complete the game on Easy.,32.2,"Shooter, Puzzle, Adventure","Action, Horror, Survival",9.5,86,82
