"tconst","primaryTitle","startYear","genres","Gender","averageRating","numVotes","RatingsRank","votesShare","ratingDiff"
"tt0118688","Batman & Robin",1997,"Action,Sci-Fi","Male",3.7,167062,1001,88.2,-0.8
"tt2322441","Fifty Shades of Grey",2015,"Drama,Romance,Thriller","Male",3.9,133040,1000,58.6,-0.9
"tt1259571","The Twilight Saga: New Moon",2009,"Adventure,Drama,Fantasy","Male",4.3,133931,998,60.4,-1.3
"tt1324999","The Twilight Saga: Breaking Dawn - Part 1",2011,"Adventure,Drama,Fantasy","Male",4.3,104696,999,55.3,-1.6
"tt1325004","The Twilight Saga: Eclipse",2010,"Action,Adventure,Drama","Male",4.6,112158,997,59,-1.2
"tt1099212","Twilight",2008,"Drama,Fantasy,Romance","Male",5,212992,995,59.9,-1
"tt1289401","Ghostbusters",2016,"Action,Comedy,Fantasy","Male",5,123787,996,77.2,-1.4
"tt1673434","The Twilight Saga: Breaking Dawn - Part 2",2012,"Adventure,Drama,Fantasy","Male",5.1,104477,994,55.9,-1.2
"tt0259324","Ghost Rider",2007,"Action,Fantasy,Thriller","Male",5.2,165967,993,87.7,-0.2
"tt0287978","Daredevil",2003,"Action,Crime","Male",5.3,148409,991,86.8,0
"tt7126948","Wonder Woman 1984",2020,"Action,Adventure,Fantasy","Male",5.3,133327,992,85.6,-0.600000000000001
"tt0112462","Batman Forever",1995,"Action,Adventure","Male",5.4,165627,990,87.1,-0.399999999999999
"tt1133985","Green Lantern",2011,"Action,Adventure,Sci-Fi","Male",5.5,197016,988,86.1,-0.0999999999999996
"tt0486576","Fantastic Four: Rise of the Silver Surfer",2007,"Action,Adventure,Fantasy","Male",5.5,180929,989,86.4,-0.3
"tt2109248","Transformers: Age of Extinction",2014,"Action,Adventure,Sci-Fi","Male",5.6,204453,985,88.4,-0.4
"tt2184339","The Purge",2013,"Horror,Sci-Fi,Thriller","Male",5.6,134694,986,80.5,-0.300000000000001
"tt10838180","The Matrix Resurrections",2021,"Action,Sci-Fi","Male",5.6,128517,987,88.7,-0.4
"tt0120667","Fantastic Four",2005,"Action,Adventure,Fantasy","Male",5.7,218322,982,84.5,-0.3
"tt0286716","Hulk",2003,"Action,Sci-Fi","Male",5.7,185646,983,89.6,0.2
"tt0133152","Planet of the Apes",2001,"Action,Adventure,Sci-Fi","Male",5.7,130506,984,88.1,-0.0999999999999996
"tt1386697","Suicide Squad",2016,"Action,Adventure,Fantasy","Male",5.8,354643,973,81.4,-0.5
"tt1190080",2012,2009,"Action,Adventure,Sci-Fi","Male",5.8,255188,974,85.6,-0.100000000000001
"tt0800320","Clash of the Titans",2010,"Action,Adventure,Fantasy","Male",5.8,200753,975,86,-0.2
"tt0322259","2 Fast 2 Furious",2003,"Action,Crime,Thriller","Male",5.8,179726,976,87.9,-0.4
"tt1440129","Battleship",2012,"Action,Adventure,Sci-Fi","Male",5.8,178830,977,87.6,-0.3
"tt1951261","The Hangover Part III",2013,"Comedy,Crime","Male",5.8,164752,978,84.7,-0.2
"tt1375670","Grown Ups",2010,"Comedy","Male",5.8,152632,980,80.1,-0.4
"tt1959490","Noah",2014,"Action,Adventure,Drama","Male",5.8,156979,979,82.9,0
"tt7097896","Venom: Let There Be Carnage",2021,"Action,Sci-Fi,Thriller","Male",5.8,103477,981,86.9,-0.600000000000001
"tt1055369","Transformers: Revenge of the Fallen",2009,"Action,Adventure,Sci-Fi","Male",5.9,283939,967,88.3,-0.5
"tt0163025","Jurassic Park III",2001,"Action,Adventure,Sci-Fi","Male",5.9,205776,968,87.1,-0.3
"tt0463985","The Fast and the Furious: Tokyo Drift",2006,"Action,Crime,Thriller","Male",5.9,177217,969,88.2,-0.0999999999999996
"tt1243957","The Tourist",2010,"Action,Thriller","Male",5.9,140987,970,73.2,-0.3
"tt7713068","Birds of Prey",2020,"Action,Comedy,Crime","Male",5.9,118762,971,82.8,-0.699999999999999
"tt0112281","Ace Ventura: When Nature Calls",1995,"Adventure,Comedy,Crime","Male",5.9,51384,972,88.1,0.2
"tt0413267","Shrek the Third",2007,"Adventure,Animation,Comedy","Male",6,173549,959,77.3,-0.4
"tt0489099","Jumper",2008,"Action,Adventure,Sci-Fi","Male",6,181008,958,84,-0.3
"tt0338526","Van Helsing",2004,"Action,Adventure,Fantasy","Male",6,171353,960,83,-0.3
"tt0409847","Cowboys & Aliens",2011,"Action,Drama,Sci-Fi","Male",6,163173,961,88.6,0
"tt0170016","How the Grinch Stole Christmas",2000,"Comedy,Family,Fantasy","Male",6,128608,963,72.7,-0.8
"tt2126355","San Andreas",2015,"Action,Adventure,Thriller","Male",6,141999,962,83.6,-0.5
"tt2908446","The Divergent Series: Insurgent",2015,"Action,Adventure,Sci-Fi","Male",6,119065,965,70.5,-0.6
"tt1464540","I Am Number Four",2011,"Action,Adventure,Sci-Fi","Male",6,122220,964,77.4,-0.5
"tt1411238","No Strings Attached",2011,"Comedy,Romance","Male",6,49318,966,67,-0.2
"tt0367882","Indiana Jones and the Kingdom of the Crystal Skull",2008,"Action,Adventure","Male",6.1,303289,945,87.5,-0.2
"tt0974015","Justice League",2017,"Action,Adventure,Fantasy","Male",6.1,252961,946,86.7,-0.4
"tt0120912","Men in Black II",2002,"Action,Adventure,Comedy","Male",6.1,238540,947,85.8,-0.300000000000001
"tt0213149","Pearl Harbor",2001,"Action,Drama,History","Male",6.1,206332,949,81,-0.7
"tt0120755","Mission: Impossible II",2000,"Action,Adventure,Thriller","Male",6.1,225115,948,89.3,-0.100000000000001
"tt0348150","Superman Returns",2006,"Action,Adventure,Sci-Fi","Male",6.1,200394,950,88.1,-0.100000000000001
"tt4881806","Jurassic World: Fallen Kingdom",2018,"Action,Adventure,Sci-Fi","Male",6.1,172499,951,83.6,-0.5
"tt1735898","Snow White and the Huntsman",2012,"Action,Adventure,Drama","Male",6.1,127322,954,68,-0.300000000000001
"tt0978764","Sucker Punch",2011,"Action,Adventure,Fantasy","Male",6.1,148334,953,82.5,0
"tt0251127","How to Lose a Guy in 10 Days",2003,"Comedy,Romance","Male",6.1,88562,956,51.6,-0.7
"tt0246460","Die Another Day",2002,"Action,Adventure,Thriller","Male",6.1,153220,952,90.7,-0.100000000000001
"tt0250494","Legally Blonde",2001,"Comedy,Romance","Male",6.1,82586,957,54.8,-0.800000000000001
"tt5164214","Ocean's Eight",2018,"Action,Comedy,Crime","Male",6.1,100830,955,70.3,-0.7
"tt0413300","Spider-Man 3",2007,"Action,Adventure,Sci-Fi","Male",6.2,359011,928,86.8,-0.0999999999999996
"tt1399103","Transformers: Dark of the Moon",2011,"Action,Adventure,Sci-Fi","Male",6.2,286100,929,88,-0.2
"tt1397280","Taken 2",2012,"Action,Crime,Thriller","Male",6.2,209582,930,86.4,-0.3
"tt1253863","300: Rise of an Empire",2014,"Action,Drama,War","Male",6.2,206680,931,89.7,0
"tt1077368","Dark Shadows",2012,"Comedy,Fantasy,Horror","Male",6.2,146617,938,69.6,-0.0999999999999996
"tt1386703","Total Recall",2012,"Action,Adventure,Sci-Fi","Male",6.2,183325,932,87.7,-0.0999999999999996
"tt0175142","Scary Movie",2000,"Comedy","Male",6.2,164743,935,84.6,0.2
"tt0448011","Knowing",2009,"Action,Mystery,Sci-Fi","Male",6.2,158560,936,85.4,0.100000000000001
"tt1234721","RoboCop",2014,"Action,Crime,Sci-Fi","Male",6.2,167309,933,90.6,0
"tt0118583","Alien: Resurrection",1997,"Action,Horror,Sci-Fi","Male",6.2,165272,934,89.8,-0.2
"tt2209764","Transcendence",2014,"Action,Drama,Sci-Fi","Male",6.2,147898,937,82.8,-0.0999999999999996
"tt0795421","Mamma Mia!",2008,"Comedy,Musical,Romance","Male",6.2,97017,944,54.8,-0.7
"tt9032400","Eternals",2021,"Action,Adventure,Fantasy","Male",6.2,145705,939,83.7,-0.399999999999999
"tt2334879","White House Down",2013,"Action,Drama,Thriller","Male",6.2,142611,941,83.6,-0.6
"tt4046784","Maze Runner: The Scorch Trials",2015,"Action,Adventure,Sci-Fi","Male",6.2,132948,942,78.3,-0.399999999999999
"tt10648342","Thor: Love and Thunder",2022,"Action,Adventure,Comedy","Male",6.2,144322,940,85.5,-0.399999999999999
"tt5034838","Godzilla vs. Kong",2021,"Action,Sci-Fi,Thriller","Male",6.2,104879,943,91.3,-0.0999999999999996
"tt2872732","Lucy",2014,"Action,Sci-Fi,Thriller","Male",6.3,289772,915,80.6,-0.100000000000001
"tt1014759","Alice in Wonderland",2010,"Adventure,Family,Fantasy","Male",6.3,217728,917,68.6,-0.600000000000001
"tt0181852","Terminator 3: Rise of the Machines",2003,"Action,Sci-Fi","Male",6.3,278802,916,91.7,0.0999999999999996
"tt0209163","The Mummy Returns",2001,"Action,Adventure,Fantasy","Male",6.3,196344,918,82.1,-0.4
"tt0290002","Meet the Fockers",2004,"Comedy,Romance","Male",6.3,169197,920,79.3,-0.100000000000001
"tt2004420","Neighbors",2014,"Comedy","Male",6.3,165077,921,78.5,0
"tt1340138","Terminator Genisys",2015,"Action,Adventure,Sci-Fi","Male",6.3,187087,919,90,-0.3
"tt1564367","Just Go with It",2011,"Comedy,Romance","Male",6.3,128013,924,67.7,-0.3
"tt3110958","Now You See Me 2",2016,"Action,Adventure,Comedy","Male",6.3,143706,922,79,-0.5
"tt7991608","Red Notice",2021,"Action,Comedy,Thriller","Male",6.3,128148,923,78,-0.3
"tt2293640","Minions",2015,"Adventure,Animation,Comedy","Male",6.3,123131,926,76.5,-0.3
"tt2637276","Ted 2",2015,"Comedy","Male",6.3,127300,925,87.2,0.3
"tt1464335","Uncharted",2022,"Action,Adventure","Male",6.3,58808,927,86.7,-0.4
"tt1411697","The Hangover Part II",2011,"Comedy","Male",6.4,321275,885,82.9,-0.0999999999999996
