"tconst","primaryTitle","startYear","genres","averageRating","numVotes","mVotes","fVotes","mRating","fRating","RatingDiff","fVoteShare","iVotes"
"tt0118688","Batman & Robin",1997,"Action,Sci-Fi",3.8,265455,167062,22261,3.7,4.5,0.8,11.8,189323
"tt2322441","Fifty Shades of Grey",2015,"Drama,Romance,Thriller",4.2,332081,133040,94150,3.9,4.8,0.9,41.4,227190
"tt1259571","The Twilight Saga: New Moon",2009,"Adventure,Drama,Fantasy",4.8,296759,133931,87776,4.3,5.6,1.3,39.6,221707
"tt1324999","The Twilight Saga: Breaking Dawn - Part 1",2011,"Adventure,Drama,Fantasy",4.9,251548,104696,84744,4.3,5.9,1.6,44.7,189440
"tt1325004","The Twilight Saga: Eclipse",2010,"Action,Adventure,Drama",5.1,257658,112158,78064,4.6,5.8,1.2,41,190222
"tt1099212","Twilight",2008,"Drama,Fantasy,Romance",5.3,481769,212992,142748,5,6,1,40.1,355740
"tt1289401","Ghostbusters",2016,"Action,Comedy,Fantasy",6.8,241988,123787,36637,5,6.4,1.4,22.8,160424
"tt1673434","The Twilight Saga: Breaking Dawn - Part 2",2012,"Adventure,Drama,Fantasy",5.5,259981,104477,82381,5.1,6.3,1.2,44.1,186858
"tt0259324","Ghost Rider",2007,"Action,Fantasy,Thriller",5.3,249656,165967,23274,5.2,5.4,0.2,12.3,189241
"tt0287978","Daredevil",2003,"Action,Crime",5.3,227345,148409,22612,5.3,5.3,0,13.2,171021
"tt7126948","Wonder Woman 1984",2020,"Action,Adventure,Fantasy",5.4,287925,133327,22489,5.3,5.9,0.6,14.4,155816
"tt0112462","Batman Forever",1995,"Action,Adventure",5.4,264082,165627,24629,5.4,5.8,0.4,12.9,190256
"tt1133985","Green Lantern",2011,"Action,Adventure,Sci-Fi",5.5,293925,197016,31912,5.5,5.6,0.1,13.9,228928
"tt0486576","Fantastic Four: Rise of the Silver Surfer",2007,"Action,Adventure,Fantasy",5.6,275168,180929,28574,5.5,5.8,0.3,13.6,209503
"tt2109248","Transformers: Age of Extinction",2014,"Action,Adventure,Sci-Fi",5.6,328805,204453,26876,5.6,6,0.4,11.6,231329
"tt2184339","The Purge",2013,"Horror,Sci-Fi,Thriller",5.7,237031,134694,32562,5.6,5.9,0.3,19.5,167256
"tt10838180","The Matrix Resurrections",2021,"Action,Sci-Fi",5.7,273615,128517,16296,5.6,6,0.4,11.3,144813
"tt0120667","Fantastic Four",2005,"Action,Adventure,Fantasy",5.7,341004,218322,40182,5.7,6,0.3,15.5,258504
"tt0286716","Hulk",2003,"Action,Sci-Fi",5.6,276635,185646,21437,5.7,5.5,-0.2,10.4,207083
"tt0133152","Planet of the Apes",2001,"Action,Adventure,Sci-Fi",5.7,226769,130506,17598,5.7,5.8,0.1,11.9,148104
"tt1386697","Suicide Squad",2016,"Action,Adventure,Fantasy",5.9,714850,354643,80898,5.8,6.3,0.5,18.6,435541
"tt1190080",2012,2009,"Action,Adventure,Sci-Fi",5.8,393474,255188,43065,5.8,5.9,0.1,14.4,298253
"tt0800320","Clash of the Titans",2010,"Action,Adventure,Fantasy",5.8,290624,200753,32691,5.8,6,0.2,14,233444
"tt0322259","2 Fast 2 Furious",2003,"Action,Crime,Thriller",5.9,293235,179726,24647,5.8,6.2,0.4,12.1,204373
"tt1440129","Battleship",2012,"Action,Adventure,Sci-Fi",5.8,255495,178830,25249,5.8,6.1,0.3,12.4,204079
"tt1951261","The Hangover Part III",2013,"Comedy,Crime",5.8,331123,164752,29669,5.8,6,0.2,15.3,194421
"tt1375670","Grown Ups",2010,"Comedy",6,269869,152632,37918,5.8,6.2,0.4,19.9,190550
"tt1959490","Noah",2014,"Action,Adventure,Drama",5.8,264276,156979,32303,5.8,5.8,0,17.1,189282
"tt7097896","Venom: Let There Be Carnage",2021,"Action,Sci-Fi,Thriller",5.9,253073,103477,15541,5.8,6.4,0.6,13.1,119018
"tt1055369","Transformers: Revenge of the Fallen",2009,"Action,Adventure,Sci-Fi",6,424294,283939,37696,5.9,6.4,0.5,11.7,321635
"tt0163025","Jurassic Park III",2001,"Action,Adventure,Sci-Fi",5.9,337246,205776,30582,5.9,6.2,0.3,12.9,236358
"tt0463985","The Fast and the Furious: Tokyo Drift",2006,"Action,Crime,Thriller",6,294310,177217,23821,5.9,6,0.1,11.8,201038
"tt1243957","The Tourist",2010,"Action,Thriller",6,253902,140987,51728,5.9,6.2,0.3,26.8,192715
"tt7713068","Birds of Prey",2020,"Action,Comedy,Crime",6.1,260361,118762,24595,5.9,6.6,0.7,17.2,143357
"tt0112281","Ace Ventura: When Nature Calls",1995,"Adventure,Comedy,Crime",6.4,230371,51384,6957,5.9,5.7,-0.2,11.9,58341
"tt0413267","Shrek the Third",2007,"Adventure,Animation,Comedy",6.1,327451,173549,50861,6,6.4,0.4,22.7,224410
"tt0489099","Jumper",2008,"Action,Adventure,Sci-Fi",6.1,320262,181008,34350,6,6.3,0.3,16,215358
"tt0338526","Van Helsing",2004,"Action,Adventure,Fantasy",6.1,281121,171353,35057,6,6.3,0.3,17,206410
"tt0409847","Cowboys & Aliens",2011,"Action,Drama,Sci-Fi",6,229887,163173,20981,6,6,0,11.4,184154
"tt0170016","How the Grinch Stole Christmas",2000,"Comedy,Family,Fantasy",6.3,286832,128608,48322,6,6.8,0.8,27.3,176930
"tt2126355","San Andreas",2015,"Action,Adventure,Thriller",6.1,253088,141999,27897,6,6.5,0.5,16.4,169896
"tt2908446","The Divergent Series: Insurgent",2015,"Action,Adventure,Sci-Fi",6.2,251568,119065,49915,6,6.6,0.6,29.5,168980
"tt1464540","I Am Number Four",2011,"Action,Adventure,Sci-Fi",6.1,244729,122220,35725,6,6.5,0.5,22.6,157945
"tt1411238","No Strings Attached",2011,"Comedy,Romance",6.2,241556,49318,24260,6,6.2,0.2,33,73578
"tt0367882","Indiana Jones and the Kingdom of the Crystal Skull",2008,"Action,Adventure",6.2,486326,303289,43202,6.1,6.3,0.2,12.5,346491
"tt0974015","Justice League",2017,"Action,Adventure,Fantasy",6.1,473722,252961,38695,6.1,6.5,0.4,13.3,291656
"tt0120912","Men in Black II",2002,"Action,Adventure,Comedy",6.2,397794,238540,39377,6.1,6.4,0.3,14.2,277917
"tt0213149","Pearl Harbor",2001,"Action,Drama,History",6.2,348195,206332,48355,6.1,6.8,0.7,19,254687
"tt0120755","Mission: Impossible II",2000,"Action,Adventure,Thriller",6.1,372364,225115,27077,6.1,6.2,0.1,10.7,252192
"tt0348150","Superman Returns",2006,"Action,Adventure,Sci-Fi",6.1,289923,200394,27056,6.1,6.2,0.1,11.9,227450
"tt4881806","Jurassic World: Fallen Kingdom",2018,"Action,Adventure,Sci-Fi",6.1,338092,172499,33952,6.1,6.6,0.5,16.4,206451
"tt1735898","Snow White and the Huntsman",2012,"Action,Adventure,Drama",6.1,299789,127322,59964,6.1,6.4,0.3,32,187286
"tt0978764","Sucker Punch",2011,"Action,Adventure,Fantasy",6,250699,148334,31410,6.1,6.1,0,17.5,179744
"tt0251127","How to Lose a Guy in 10 Days",2003,"Comedy,Romance",6.5,263035,88562,83027,6.1,6.8,0.7,48.4,171589
