Title,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Arrival,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Chimes of Big Ben,0,4,3,5,14,0,2,0,0,1,0,0,0,0,0,0,0
A. B. and C.,0,0,5,0,0,1,5,9,2,1,1,0,4,0,1,0,0
Free for All,0,5,9,11,4,0,0,0,0,0,0,0,0,0,0,0,0
The Schizoid Man,0,0,0,1,4,14,3,5,0,0,2,0,0,0,0,0,0
The General,0,0,0,1,0,7,10,5,0,1,1,4,0,0,0,0,0
Many Happy Returns,0,2,0,0,1,3,6,2,11,1,1,0,2,0,0,0,0
Dance of the Dead,0,18,4,1,0,0,1,3,0,0,0,2,0,0,0,0,0
Checkmate,0,0,8,10,6,2,0,0,2,0,1,0,0,0,0,0,0
Hammer into Anvil,0,0,0,0,0,0,0,1,1,6,1,10,0,7,3,0,0
It's Your Funeral,0,0,0,0,0,0,2,2,7,8,7,0,0,2,1,0,0
A Change of Mind,0,0,0,0,0,1,1,2,2,2,12,4,4,1,0,0,0
Do Not Forsake Me Oh My Darling,0,0,0,0,0,0,0,0,1,1,1,5,12,4,5,0,0
Living in Harmony,0,0,0,0,0,0,0,0,1,4,1,3,6,12,2,0,0
The Girl Who Was Death,0,0,0,0,0,0,0,0,1,3,2,1,1,3,17,1,0
Once Upon a Time,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,28,0
Fall Out,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
